channelID,userChannelID,channelURL,timeShift,channelSDP,timeShiftURL,channelLogoStruct,channelPurchased,channelFECPort,channelType,channelName,group,timeShiftPublished,rtpAvailable,rtspAvailable
01010001000000050000000000000338,168,igmp://239.3.1.161:8001,True,,rtsp://61.135.88.136/PLTV/88888892/224/3221226087/10000100000000060000000000658473_0.smil,,True,0,1,南方卫视,无分类,False,False,False
01010001000000050000000000000346,321,igmp://239.3.1.165:8001,False,,rtsp://61.135.88.136/PLTV/88888892/224/3221226089/10000100000000060000000000659527_0.smil,,True,0,1,茶,体验频道,False,True,True
01010001000000050000000000000345,320,igmp://239.3.1.164:8001,False,,rtsp://61.135.88.136/PLTV/88888892/224/3221226074/10000100000000060000000000659528_0.smil,,True,0,1,快乐垂钓,无分类,False,True,True
00000001000000050000000000000580,17,igmp://239.3.1.151:8144,True,igmp://239.3.1.151:8144,rtsp://61.135.88.136/PLTV/88888892/224/3221226095/10000100000000060000000000705941_0.smil,"{'channelLogURL': None, 'positionX': 0, 'positionY': 0, 'interval': 0, 'beginTime': 'null', 'lasting': 'null'}",True,0,null,CCTV17-高清,CCTV频道,True,True,True
01010001000000050000000000000308,36,igmp://239.3.1.238:8001,True,igmp://239.3.1.238:8001,rtsp://61.135.88.136/PLTV/88888892/224/3221226053/10000100000000060000000000362332_0.smil,"{'channelLogURL': None, 'positionX': 0, 'positionY': 0, 'interval': 0, 'beginTime': 'null', 'lasting': 'null'}",True,0,null,淘Baby,无分类,False,True,True
01010001000000050000000000000014,40,igmp://239.3.1.249:8001,False,igmp://239.3.1.249:8001,rtsp://61.135.88.136/PLTV/88888892/224/3221225968/10000100000000060000000000157831_0.smil,,True,0,null,4K超清,无分类,False,True,False
00000001000000050000000000000558,522,igmp://239.3.1.247:2000,False,igmp://239.3.1.247:2000,rtsp://61.135.88.136/PLTV/88888892/224/3221226055/10000100000000060000000000364380_0.smil,"{'channelLogURL': None, 'positionX': 0, 'positionY': 0, 'interval': 0, 'beginTime': 'null', 'lasting': 'null'}",True,0,null,总平台测试1,无分类,False,False,False
00000001000000050000000000000560,523,igmp://239.3.1.248:2000,False,igmp://239.3.1.248:2000,rtsp://61.135.88.136/PLTV/88888892/224/3221226048/10000100000000060000000000364379_0.smil,"{'channelLogURL': None, 'positionX': 0, 'positionY': 0, 'interval': 0, 'beginTime': 'null', 'lasting': 'null'}",True,0,null,总平台测试2,无分类,False,False,False
00000001000000050000000000000533,324,igmp://239.3.1.66:8068,True,igmp://239.3.1.66:8068,rtsp://61.135.88.136/PLTV/88888892/224/3221226042/10000100000000060000000000285838_0.smil,,True,0,null,熊猫频道,无分类,False,False,False
00000001000000050000000000000500,352,igmp://239.3.1.68:4120,True,igmp://239.3.1.68:4120,rtsp://61.135.88.136/PLTV/88888892/224/3221226007/10000100000000060000000000285639_0.smil,,True,0,null,军旅剧场,无分类,False,True,False
00000001000000050000000000000503,356,igmp://239.3.1.72:4120,True,igmp://239.3.1.72:4120,rtsp://61.135.88.136/PLTV/88888892/224/3221226016/10000100000000060000000000285644_0.smil,,True,0,null,美妆,无分类,False,True,True
00000001000000050000000000000501,353,igmp://239.3.1.69:4120,True,igmp://239.3.1.69:4120,rtsp://61.135.88.136/PLTV/88888892/224/3221226012/10000100000000060000000000285640_0.smil,,True,0,null,古装剧场,无分类,False,True,False
00000001000000050000000000000502,354,igmp://239.3.1.70:4120,True,igmp://239.3.1.70:4120,rtsp://61.135.88.136/PLTV/88888892/224/3221226014/10000100000000060000000000285642_0.smil,,True,0,null,音乐现场,无分类,False,True,False
00000001000000050000000000000504,357,igmp://239.3.1.73:4120,True,igmp://239.3.1.73:4120,rtsp://61.135.88.136/PLTV/88888892/224/3221226011/10000100000000060000000000285645_0.smil,,True,0,null,美人,无分类,False,True,True
00000001000000050000000000000505,358,igmp://239.3.1.74:4120,True,igmp://239.3.1.74:4120,rtsp://61.135.88.136/PLTV/88888892/224/3221226018/10000100000000060000000000285646_0.smil,,True,0,null,精选,无分类,False,True,True
01010001000000050000000000000015,38,igmp://239.3.1.250:8001,True,igmp://239.3.1.250:8001,rtsp://61.135.88.136/PLTV/88888892/224/3221225965/10000100000000060000000000157832_0.smil,"{'channelLogURL': None, 'positionX': 0, 'positionY': 0, 'interval': 0, 'beginTime': 'null', 'lasting': 'null'}",True,0,null,淘电影,无分类,False,True,True
00000001000000050000000000000104,206,igmp://239.3.1.198:9004,True,igmp://239.3.1.198:9004,rtsp://61.135.88.136/PLTV/88888892/224/3221225854/10000100000000060000000000025081_0.smil,"{'channelLogURL': None, 'positionX': 0, 'positionY': 0, 'interval': 0, 'beginTime': 'null', 'lasting': 'null'}",True,0,null,IPTV3＋,无分类,False,False,False
00000001000000050000000000000521,372,igmp://239.3.1.88:4120,True,igmp://239.3.1.88:4120,rtsp://61.135.88.136/PLTV/88888892/224/3221226032/10000100000000060000000000285660_0.smil,,True,0,null,高网,无分类,False,True,True
00000001000000050000000000000105,208,igmp://239.3.1.200:9008,True,igmp://239.3.1.200:9008,rtsp://61.135.88.136/PLTV/88888892/224/3221225856/10000100000000060000000000025084_0.smil,"{'channelLogURL': None, 'positionX': 0, 'positionY': 0, 'interval': 0, 'beginTime': 'null', 'lasting': 'null'}",True,0,null,IPTV5＋,无分类,False,False,False
00000001000000050000000000000522,373,igmp://239.3.1.89:4120,True,igmp://239.3.1.89:4120,rtsp://61.135.88.136/PLTV/88888892/224/3221226027/10000100000000060000000000285661_0.smil,,True,0,null,足球,无分类,False,True,True
00000001000000050000000000000523,374,igmp://239.3.1.90:4120,True,igmp://239.3.1.90:4120,rtsp://61.135.88.136/PLTV/88888892/224/3221226041/10000100000000060000000000286228_0.smil,,True,0,null,武侠剧场,无分类,False,True,True
00000001000000050000000000000524,375,igmp://239.3.1.91:4120,True,igmp://239.3.1.91:4120,rtsp://61.135.88.136/PLTV/88888892/224/3221226044/10000100000000060000000000286227_0.smil,,True,0,null,喜剧影院,无分类,False,True,True
00000001000000050000000000000527,378,igmp://239.3.1.94:4120,True,igmp://239.3.1.94:4120,rtsp://61.135.88.136/PLTV/88888892/224/3221226029/10000100000000060000000000285686_0.smil,,True,0,null,星影,无分类,False,True,True
00000001000000050000000000000499,351,igmp://239.3.1.67:4120,True,igmp://239.3.1.67:4120,rtsp://61.135.88.136/PLTV/88888892/224/3221226037/10000100000000060000000000285839_0.smil,,True,0,null,城市剧场,无分类,False,True,False
00000001000000050000000000000266,48,igmp://239.3.1.141:1234,True,igmp://239.3.1.141:1234,rtsp://61.135.88.136/PLTV/88888892/224/3221225984/10000100000000060000000000176931_0.smil,"{'channelLogURL': None, 'positionX': 0, 'positionY': 0, 'interval': 0, 'beginTime': 'null', 'lasting': 'null'}",True,0,null,天津卫视高清,卫视频道,True,True,False
00000001000000050000000000000107,205,igmp://239.3.1.197:9016,True,igmp://239.3.1.197:9016,rtsp://61.135.88.136/PLTV/88888892/224/3221225852/10000100000000060000000000025080_0.smil,"{'channelLogURL': None, 'positionX': 0, 'positionY': 0, 'interval': 0, 'beginTime': 'null', 'lasting': 'null'}",True,0,null,IPTV6＋,无分类,False,False,False
00000001000000050000000000000472,51,igmp://239.3.1.210:8056,True,igmp://239.3.1.210:8056,rtsp://61.135.88.136/PLTV/88888892/224/3221226000/10000100000000060000000000205199_0.smil,"{'channelLogURL': None, 'positionX': 0, 'positionY': 0, 'interval': 0, 'beginTime': 'null', 'lasting': 'null'}",True,0,null,辽宁卫视高清,卫视频道,True,True,True
00000001000000050000000000000146,209,igmp://239.3.1.201:8072,True,igmp://239.3.1.201:8072,rtsp://61.135.88.136/PLTV/88888892/224/3221225861/10000100000000060000000000025085_0.smil,"{'channelLogURL': None, 'positionX': 0, 'positionY': 0, 'interval': 0, 'beginTime': 'null', 'lasting': 'null'}",True,0,null,IPTV8＋,无分类,False,False,False
00000001000000050000000000000470,50,igmp://239.3.1.209:8052,True,igmp://239.3.1.209:8052,rtsp://61.135.88.136/PLTV/88888892/224/3221226002/10000100000000060000000000205202_0.smil,"{'channelLogURL': None, 'positionX': 0, 'positionY': 0, 'interval': 0, 'beginTime': 'null', 'lasting': 'null'}",True,0,null,山东卫视高清,卫视频道,True,True,False
00005000000000000000000000000244,166,igmp://239.3.1.143:4120,True,igmp://239.3.1.143:4120,rtsp://61.135.88.136/PLTV/88888892/224/3221225990/10000100000000060000000000176937_0.smil,"{'channelLogURL': None, 'positionX': 0, 'positionY': 0, 'interval': 0, 'beginTime': 'null', 'lasting': 'null'}",True,0,null,厦门卫视,卫视频道,False,True,False
00000001000000050000000000000516,368,igmp://239.3.1.84:4120,True,igmp://239.3.1.84:4120,rtsp://61.135.88.136/PLTV/88888892/224/3221226028/10000100000000060000000000285656_0.smil,,True,0,null,光影,无分类,False,True,True
00000001000000050000000000000507,360,igmp://239.3.1.76:4120,True,igmp://239.3.1.76:4120,rtsp://61.135.88.136/PLTV/88888892/224/3221226020/10000100000000060000000000285648_0.smil,,True,0,null,军事,无分类,False,True,True
00000001000000050000000000000509,361,igmp://239.3.1.77:4120,True,igmp://239.3.1.77:4120,rtsp://61.135.88.136/PLTV/88888892/224/3221226015/10000100000000060000000000285649_0.smil,,True,0,null,国学,无分类,False,True,True
00000001000000050000000000000518,369,igmp://239.3.1.85:4120,True,igmp://239.3.1.85:4120,rtsp://61.135.88.136/PLTV/88888892/224/3221226023/10000100000000060000000000285657_0.smil,,True,0,null,台球,无分类,False,True,True
00000001000000050000000000000519,370,igmp://239.3.1.86:4120,True,igmp://239.3.1.86:4120,rtsp://61.135.88.136/PLTV/88888892/224/3221226030/10000100000000060000000000285658_0.smil,,True,0,null,爱生活,无分类,False,True,True
00000001000000050000000000000520,371,igmp://239.3.1.87:4120,True,igmp://239.3.1.87:4120,rtsp://61.135.88.136/PLTV/88888892/224/3221226025/10000100000000060000000000285659_0.smil,,True,0,null,武术,无分类,False,True,True
00000001000000050000000000000525,376,igmp://239.3.1.92:4120,True,igmp://239.3.1.92:4120,rtsp://61.135.88.136/PLTV/88888892/224/3221226039/10000100000000060000000000286226_0.smil,,True,0,null,动作影院,无分类,False,True,True
01010001000000050000000000000001,121,igmp://239.3.1.225:8000,False,igmp://239.3.1.225:8000,rtsp://61.135.88.136/PLTV/88888892/224/3221225814/10000100000000060000000000025042_0.smil,"{'channelLogURL': None, 'positionX': 0, 'positionY': 0, 'interval': 0, 'beginTime': 'null', 'lasting': 'null'}",True,0,null,BRTV北京卫视,BRTV频道,False,True,False
01010001000000050000000000000021,21,igmp://239.3.1.241:8000,True,igmp://239.3.1.241:8000,rtsp://61.135.88.136/PLTV/88888892/224/3221225870/10000100000000060000000000025099_0.smil,"{'channelLogURL': None, 'positionX': 0, 'positionY': 0, 'interval': 0, 'beginTime': 'null', 'lasting': 'null'}",True,0,null,BRTV北京卫视高清,BRTV频道,True,True,False
